,country,most_important_feature,feature_value,# functioning,# not functioning,percentage_broken
290,Sierra Leone,age_well_years,42.6,2.0,2.0,50.0
291,Sierra Leone,age_well_years,41.6,11.0,2.0,15.38
292,Sierra Leone,age_well_years,12.3,21.0,2.0,8.7
293,Sierra Leone,age_well_years,11.3,12.0,2.0,14.29
294,Sierra Leone,age_well_years,31.2,3.0,2.0,40.0
295,Sierra Leone,age_well_years,37.7,5.0,2.0,28.57
296,Sierra Leone,age_well_years,53.7,,2.0,100.0
297,Sierra Leone,age_well_years,20.9,8.0,2.0,20.0
298,Sierra Leone,age_well_years,27.0,1.0,2.0,66.67
299,Sierra Leone,age_well_years,24.3,29.0,2.0,6.45
300,Sierra Leone,age_well_years,23.9,8.0,2.0,20.0
301,Sierra Leone,age_well_years,32.9,13.0,2.0,13.33
302,Sierra Leone,age_well_years,1.3,44.0,2.0,4.35
303,Sierra Leone,age_well_years,35.1,5.0,2.0,28.57
304,Sierra Leone,age_well_years,49.7,2.0,2.0,50.0
305,Sierra Leone,age_well_years,27.3,9.0,2.0,18.18
306,Sierra Leone,age_well_years,54.7,10.0,2.0,16.67
307,Sierra Leone,age_well_years,48.7,5.0,2.0,28.57
308,Sierra Leone,age_well_years,27.5,3.0,2.0,40.0
309,Sierra Leone,age_well_years,18.5,2.0,2.0,50.0
310,Sierra Leone,age_well_years,56.9,5.0,2.0,28.57
311,Sierra Leone,age_well_years,28.3,3.0,2.0,40.0
312,Sierra Leone,age_well_years,48.6,2.0,2.0,50.0
313,Sierra Leone,age_well_years,37.6,8.0,2.0,20.0
314,Sierra Leone,age_well_years,29.2,24.0,2.0,7.69
315,Sierra Leone,age_well_years,33.2,22.0,2.0,8.33
316,Sierra Leone,age_well_years,73.8,1.0,1.0,50.0
317,Sierra Leone,age_well_years,86.6,45.0,1.0,2.17
318,Sierra Leone,age_well_years,46.9,21.0,1.0,4.55
319,Sierra Leone,age_well_years,76.6,5.0,1.0,16.67
320,Sierra Leone,age_well_years,51.6,4.0,1.0,20.0
321,Sierra Leone,age_well_years,50.1,3.0,1.0,25.0
322,Sierra Leone,age_well_years,64.7,3.0,1.0,25.0
323,Sierra Leone,age_well_years,48.1,4.0,1.0,20.0
324,Sierra Leone,age_well_years,52.7,2.0,1.0,33.33
325,Sierra Leone,age_well_years,66.6,8.0,1.0,11.11
326,Sierra Leone,age_well_years,49.8,7.0,1.0,12.5
327,Sierra Leone,age_well_years,86.7,105.0,1.0,0.94
328,Sierra Leone,age_well_years,71.4,,1.0,100.0
329,Sierra Leone,age_well_years,48.2,3.0,1.0,25.0
330,Sierra Leone,age_well_years,54.8,1.0,1.0,50.0
331,Sierra Leone,age_well_years,70.7,9.0,1.0,10.0
332,Sierra Leone,age_well_years,60.7,7.0,1.0,12.5
333,Sierra Leone,age_well_years,66.7,5.0,1.0,16.67
334,Sierra Leone,age_well_years,51.1,1.0,1.0,50.0
335,Sierra Leone,age_well_years,74.9,,1.0,100.0
336,Sierra Leone,age_well_years,-0.3,3.0,1.0,25.0
337,Sierra Leone,age_well_years,46.1,,1.0,100.0
338,Sierra Leone,age_well_years,14.5,6.0,1.0,14.29
339,Sierra Leone,age_well_years,19.9,6.0,1.0,14.29
