Row ID,country_name,water_source,water_tech,status_id,management,pay,#installer,install_year,#status,#source,#adm1,#adm2,#wpdx_id,#report_date,#country_id,#activity_id,#data_lnk,#orig_lnk,photo_lnk,#converted,#created,#updated,lat_deg,lon_deg,Location,Count,#fecal_coliform_presence,#fecal_coliform_value,#subjective_quality,val1,val2
66199,Sierra Leone,Standpipe or Tapstand,,yes,,No- water is free,Religious Group,,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066199,12/18/2012 12:00:00 AM +0000,SL,afmxmiqc,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.17681,-10.9908,"(8.17681, -10.9908)",1,,,,,
66200,Sierra Leone,Standpipe or Tapstand,,yes,,No- water is free,Religious Group,,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066200,12/18/2012 12:00:00 AM +0000,SL,afnjnk46,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.17717,-10.991,"(8.17717, -10.991)",1,,,,,
66201,Sierra Leone,Standpipe or Tapstand,,yes,,No- water is free,Religious Group,,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066201,12/18/2012 12:00:00 AM +0000,SL,afojdkex,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.17777,-10.9914,"(8.17777, -10.9914)",1,,,,,
66202,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066202,01/30/2012 12:00:00 AM +0000,SL,af1zabjq,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16413,-11.026199999999999,"(8.16413, -11.0262)",1,,,,,
66203,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- but partly damaged. Tapstand leaking,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066203,01/30/2012 12:00:00 AM +0000,SL,af2np3cp,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16454,-11.0265,"(8.16454, -11.0265)",1,,,,,
66204,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066204,01/30/2012 12:00:00 AM +0000,SL,af14bs3d,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16361,-11.0266,"(8.16361, -11.0266)",1,,,,,
66205,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- but partly damaged. Tap head(s) broken or missing,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066205,01/30/2012 12:00:00 AM +0000,SL,af1qy92z,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.164,-11.0267,"(8.164, -11.0267)",1,,,,,
66206,Sierra Leone,Pump on hand-dug well,India Mark,yes,,No- water is free,United Nations (UN),2008,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066206,01/30/2012 12:00:00 AM +0000,SL,af4jkicq,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16568,-11.0314,"(8.16568, -11.0314)",1,,,,,
66207,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,Unknown,,Yes- but partly damaged. Tap head(s) broken or missing,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066207,01/30/2012 12:00:00 AM +0000,SL,af7un7cq,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16768,-11.033099999999999,"(8.16768, -11.0331)",1,,,,,
66208,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,Unknown,,Yes- but partly damaged. Tap head(s) broken or missing,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066208,01/30/2012 12:00:00 AM +0000,SL,af780qd6,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1673,-11.033099999999999,"(8.1673, -11.0331)",1,,,,,
